80,60,155,0
80,80,179,0
80,100,200,0
80,120,217,0
80,140,231,0
80,60,131,1
80,80,151,1
80,100,169,1
80,120,183,1
80,140,195,1
60,60,146,0
60,80,169,0
60,100,189,0
60,120,205,0
60,140,219,0
60,60,126,1
60,80,145,1
60,100,162,1
60,120,176,1
60,140,187,1
40,60,139,0
40,80,161,0
40,100,180,0
40,120,195,0
40,140,207,0
40,60,121,1
40,80,140,1
40,100,156,1
40,120,169,1
40,140,180,1
20,60,139,0
20,80,161,0
20,100,180,0
20,120,195,0
20,140,207,0
20,60,121,1
20,80,140,1
20,100,156,1
20,120,169,1
20,140,180,1
